Name,Cellphone Number,Company Email,Site,Youtube Link,Territory Covered,Lines of Business,Manufacturers Represented,Address Line 1,Address Line 2,Locality,Administrative Area,Postal Code,Country,Contact name,Description,Industries Served,Type of Equipment,Sales After Service,Fax,Primary Email Contact,Primary Number Contact
Markyn SAS,+57 (313) 892-2196,clientes@markyn.com,http://www.markyn.com,https://www.youtube.com/channel/UC_4a81L2sh_qZNlzCRLzidQ/videos,Colombia,Packaging Equipment,Exclusive Distributor For Rea Jet,"Cra. 20 No 13 - 58, Oficina 413",Centro Comercial Puerto Rico,Bogota,DC,,Colombia,"Elkin Garcia Cardona, Product Mnanager","Packaging Machinery;package Design Firm;controls, Components, Integration Services, Line Automation;packaging Distributor;raw Materials (board, Resin, Additives, Etc.);converted Package Or Component (film, Closures, Pouches, Lidding, Etc.)","Packaging Machinery; package Design Firm; controls, Components, Integration Services, Line Automation; packaging Distributor; raw Materials (board, Resin, Additives, Etc.);converted Package Or Component (film, Closures, Pouches, Etc.)","Ink Jet Printers, Barcode Printers, Marking Equipment And Supplies",Yes,,gerencia@markyn.com,
Marsh Micro Systems,+(423) 629-6245,m.knee@marshmicrosystems.com,http://www.marshmicrosystems.com,https://www.youtube.com/channel/UCyz9K7DTets6SDBprY55xgg,United States,Packaging Equipment,"Marsh, Evolution, Videojet, Norwood, Wexxar/Bel, Quadrel,Microscan, Hoppmann Labeling Equipment, Q Avery Dennison, Sato, Accu-sort, Wulftec, Symbol, Zebra, Southworth, Sprinter, Matthews",6037 Century Oaks Drive,,Chattanooga,TN,37404,United States,"Michael Knee, Vice President","The focus of our business is to provide automated Marking, Coding and Labeling solutions that meet the specific needs of your organization and to provide excellent service support for the equipmet we supply you. Marsh Micro Systems has a large library of installations and applications that we have learned from and can use this experience to assure that we offer the best, most cost efficient solution!","Paper/printing, Pharmaceutical/medical, Textiles/apparel, Cosmetics/toiletries, Bakery/snack, Confection/candy, Fruit/vegetable, Meat/poultry/seafood, Crafts, Press (non-editorial), Petroleum, Soap/househ","The Focus Of Our Business Is To Provide Automated Marking, Coding And Labeling Solutions (large And Small Character Ink Jet Printing Equipment. Hi-speed Labeling Systems / In-line And Rotary. Label Printer Applicators. Hot Stamp Coders, Thermal Transfer Printers). That Meet The Specific Needs Of Your Organization And That We Offer Service On That Equipmet That Is Unmatched By Our Competition. Marsh Micro Systems Has A Large Library Of Installations And Applications That We Have Learned From And Can Use This Experience To Assure That We Offer The Best, Most Cost Efficient Solution.",Yes,+(423) 624-7019,m.knee@marshmicrosystems.com,+(423) 605-9792
Masa,+(804) 271-3000,dh@masacorp.com,http://www.masacorp.com,https://www.youtube.com/watch?v=ugJbOJ_xNf4,United States,Packaging Equipment,"3M, AEP Industries, Bay West Paper Company, Clamco Corporation, Dynaric Inc., Fasson, Georgia Pacific, ITW, Loveshaw Corporation, Paragon Films Inc., Sealed Air Corporation, Shurtape Technologies, Signode Packaging, Vondrehle Corporation, Wulftec International",2220 Station Road,,Richmond,VA,23234,United States,"Dave Heinecke, Operations","MASA Corporation is a full-service manufacturer of high quality custom labels. From concept to design, production to delivery, our experienced team is committed to your total satisfaction. Three expert-level printing processes give you complete control over how you present your brand.","Beverages (soft Drinks, Juices, Alcoholic Beverages, Coffee, Tea);chemicals, Paints, Adhesives;controls, Components, Integration Services, Line Automation;converted Package Or Component (film, Closures, Pouches, Etc.);cosmetics, Baby","The Masa Corporation Is A Diversified Shipping And Packaging Organization. It Is A Distributor Of Industrial Shipping And Packaging Supplies. Packaging Materials Include Shrink Wrap, Shrink Film, Bar Coding, Foam, Corrugated Boxes, And Labels. Masa Is Also A Distributor Of Packaging Machinery And Equipment, And Represents Numerous Manufacturers.",Yes,+(804) 271-3929,dh@masacorp.com,
Maskinagenturet,+45 6539-1131,lyngbye@maskinagenturet.com,http://www.maskinagenturet.com,,Denmark,Packaging Equipment,"Tomra, Jbt Foodtech, Fam, Niko",Thujavej 43,,Odense Sv,,5250,Denmark,Thomas Bøggild Lyngbye,"MaskinAgenturet is owned by Thomas Lyngbye, who through many years of experience in the industry has a deep knowledge of the Scandinavian food industry and its processes and machinery needs. MaskinAgenturet is today an active player in the Scandinavian market with a large installed machine base, which means that we cover a wide area both in terms of machines and geography. MaskinAgenturet puts quality and service first, which means that we represent machine suppliers who all produce high quality machines. Service is a key word for the relationship with our customers, and close relationships and good cooperation are important to us. MaskinAgenturet is ready to advise on and solve any task for our customers - there is no task too small or too big.",Processing Machinery & Related Supplies/service,"Food Processing Machinery For Fruits, Vegetables And Dairy Industries.",Yes,,lyngbye@maskinagenturet.com,
Master Tech,+2001005492942,info@mastertech-egy.com,https://mastertech-eg.net/,,,Packaging EquipmentPackaging MaterialsProcessing Equipment,"Siat, Schneider, Festo, Pfm, Colimatic, Mbp","10th of Ramadan City 1, Ash Sharqia Governorate",,Ash Sharqia,,,Egypt,Mohamed Abdelaliem,"We do not stop for a moment in search of everything that is the best and latest technology to advance With our activity, starting from the inclusion of the highest competencies in our company's team, through the development of The designs and components that we rely on in the manufacture of our machines down to the quest Towards opening wider doors for export in new countries and finding agents for us in various parts of the country At the local and international level Ending with the selection of a team of the most efficient customer service staff to answer all questions And inquiries of our valued customers 24 hours a day",,,Yes,,m_mastertech@yahoo.com,
Material Control Soultions,+(414) 423-4472,sales@matconsol.com,https://matconsol.com/,,United States,Packaging EquipmentProcessing Equipment,"IEM, Co MK, Connex US, MK , MPI, TCI, Eclipse Magnetics, FAS",P.o. Box 320038,,Franklin,WI,53132,United States,"Mark Veley, Sales Engineer","Our Business Is Built On Your SatisfactionSince 1998, Material Control Solutions has be been providing wide range of products and services to a wide range of industries. We will take the extra step to go beyond your typical supplier. Bringing commitment and passion to quality and customer service. We have decades of experience going to work for our customers. We continually have the best interests of our customers on our minds every day.",Material Handling & Process Control Solutions,"Since 1999, Material Control Solutions Has Been Providing A Wide Range Of Products And Services To A Diverse Range Of Industries. They Speciliaze In Suppling Separation And Metal Control Products, Bulk Material Handling & Size Reduction Equipment, Industrial Products And Factory Automation Technologies.",Yes,,mark@matconsol.com,
"Materials Management Concepts, Inc. (Mmci - Robotics)",+(314) 438-3300,relfrink@mmci-systems.com,http://www.mmci-systems.com,https://www.youtube.com/channel/UCnxhDz9x42FqxWN_0xYNW5A,United States,Packaging EquipmentSystems IntegratorAutomation Equipment & Components,"Fanuc And Kuka Robotics, Alba, Phoenix, Lantech, Multi Conveyor, Omni Metalcraft, Wuftec, Tgw, Ermanco.",39So Worthington Access Drive,,St. Louis,MO,63043,United States,"Randy Elfrink, Robotic Sales Director","Since Our Inception In 1983, Materials Management Concepts, Inc. (mmci) Has Specialized In The Integration Of World-class Material Handling Equipment, Controls And Packaging Machinery.Now With Our Robotics Division We Specialize In Our Own Engineered, Designed And Manufactured Case Packing, Palletizing Systems For All Types Of Containers Along With Depalletizing For Cases And Bags.",,"Robotic Packaging Systems For Secondary And End-of-the-line Packaging For Products In Bags, Cases, Trays, Totes And Pails",Yes,+(314) 438-3298,relfrink@mmci-systems.com,
Matexpla S.A.,+54 (11) 4703-0303,matexpla@matexpla.com.ar,http://www.matexpla.com.ar,,ArgentinaChileParaguayUruguay,Packaging Equipment,"Adco, Axon, Concetti Group, Cozzoli, Douglas, Elliot, Elpack, Formost - Fuji, GEI Mateer Burt, Hamer, Heisler, Iman Pack, Lloveras, Norpak, Osgood, Scaglia, Tommy Nielsen,",Ruiz Huidobro 2965,,Buenos Aires,Buenos Aires,,Argentina,"Ronaldo Schreck, President",Matexpla has been active in the Argentinian Market since 1972,"Raw Materials, Agribusiness","Bottling equipment, wrapping and packaging equipment/materials, textile handling/finishing, plastic molding/processing, inputs. Machinery And Equipment For The Plastic And Packaging Industries",Yes,+54 (11) 4703-0300,matexpla@matexpla.com.ar,
,,,,,,,,,,,,,,,,,,,,,
Maxim Flexpac,+(949) 587-9582,sales@maximflexpac.com,http://www.maximflexpac.com,,,Packaging EquipmentPackaging Materials,Maxim Flexpac,9263 Research Drive,,Irvine,CA,92618,United States,"Tom Traynor, President & CEO","Maxim FlexPac is a privately-held company, established in 2001. We are driven by the fundamental belief that success, product quality and service, are a direct result of committed employees, working within a business culture that upholds the highest standards of ethics, excellence, benefits, transparency, integrity, and respect for fellow associates.We specialize in flexible packaging and provide the following services: Project Management, Pre-Press, Package Prototyping, Product Development and Printing.","Fresh, Medical, Soap/household Chemical, Fruit/vegetable, Grain Mill","Packaging Containers (bottles, Bags, Pouches, Trays, Cartons, Preforms Etc.)",Yes,+(949) 394-1501,ttraynor@maximflexpac.com,(949) 587-9582
"Maxitrade Consultoria, Ltda",+55 (11) 8276-1600,maxitrade@maxitradeconsultoria.com,http://www.maxitradeconsultoria.com.br,,Brazil,Packaging Equipment,Outsourcing Import/ Export Services,Rua Anarai 105,,Rio de Janeiro,RJ,20541-210,Brazil,"Wagner Delarovera Pinto, Business Development Director","MAXITRADE is a company specialized in the elaboration and implementation of international business and strategy development projects, whose emphasis and differential is in supporting small and medium companies in internationalization processes.Activities such as prospection of international clients and suppliers, technical regulations and norms, international partners, technology transfer agreements, business plans, logistic studies, representation contracts and international distribution, are part of MAXITRADE's services modules.","Provide advice on the processes of export, import, international logistics and exchange",Companies that wish to outsource the foreign trade department of their companies,Yes,,delarovera@uol.com.br,
"Mayerhofer Argentina, S.A.",+54 (11) 4554-2173,contactoviaweb@mayerhofer.com.ar,http://www.mayerhofer.com.ar,,ArgentinaChileUruguay,Packaging Equipment,"Evonik, Kurz, Zahoransky.Baumer, Cofama, Cannon Vicking, Kurz.",Av. Elcano No. 3931 C1427 CHD,,Buenos Aires,Buenos Aires,,Argentina,"Diana Duarte, Foreign Trade Assistant","To offer products of excellence, which provide our customers with additional value in their production, relying on our technical / commercial knowledge and personalized contact with our customers and suppliers, in order to align ourselves with their needs and possibilities.","Leather, Graphic Arts, Industrial","Foils and hot/cold stamping machines, labeling, additives for polyurethane and for coatings.",Yes,+54 (11) 4554-3214,mh@mayerhofer.com.ar,
McLeod & Dewey,+(800) 548-4008,info@mdapackaging.com,http://www.mdapackaging.com,,,Packaging EquipmentPackaging Materials,"Phoenix Wrapping Equipment, Sigma Stretch Films, Liant, Paragon Films",630 Silver Street,,Agawam,MA,01001,United States,"Michael Brown, General Manager","For over 30 years, McLeod & Dewey has worked with major manufacturers in the food processing, beverage, retail, and logistics industries. Our goal is to provide our customers with the lowest cost per load while increasing the overall integrity of their products during transit.McLeod & Dewey is truly a unique supplier in the packaging industry. We are laser focused on the stretch film segment and known as one of the most knowledgeable suppliers in our industry. Companies like Nabisco, Kraft, Pepsico and Coca Cola take advantage of McLeod & Dewey’s technical expertise to keep their palletizing operations performing at optimal levels.",,"Packaging Machinery And Materials Product Lines Include: Stretch Films, Hand Grade Stretch Film, General Purpose Stretch Film, High Performance Stretch Film, Prestretched Hand Stretch Film, Stretch Wrap Equipment.",Yes,+(413) 789-6099,mbrown@mdapackaging.com,
Mcpack Equipamentos,+55 (11) 5044-4535,mcozac@mcpack.com.br,http://www.mcpack.com.br,https://www.youtube.com/channel/UC9XrLfkHzMkuL4MRAs4NR_g,Brazil,Packaging EquipmentProcessing Equipment,"American Beer Equipment (ABE), Chart Inc, JetAir Tech, Rychiger, Filtec, PecoInspX, Wipotec OCS, advanco, Electronic Devices, bubble- tech,","Rua Antonio Jose Borges, 470",,São Paulo,SP,04715-030,Brazil,"Marcelo Cozac, Director","The McPack is a nitrogen dosing equipment sales company, electronic quality inspection and packaging for the food industries, beverage, cosmetic, pharmaceutical, hygiene and cleanliness. We provide complete solutions for your business with innovation and competitive cost.",,,Yes,,mcozac@mcpack.com.br,
MD Packaging Inc.,+416 291-9229,info@mdpackaging.com,https://mdpackaging.com/,https://www.youtube.com/user/MDPackaging,Canada,Packaging Equipment,"Boix, TMI, Pearson Pack, Inline Filling Systems, Shurtape, H.B Fuller, Sigma Stretch Film, Surekap, Sepha, Orvx, JLS, George A Wright & Sons, Emerald, Highlight Industries, Inc.Jet, Ohlson Packaging, Orix Automation, Universal Labeling Systems, IncJet, Enercon, Rice Lake, Matrix.",141 Reach Street Unit #5A,,"Uxbridge,",ON,L9P 1L3,Canada,"Dempster Michael, Sales","Established in 1989, MD Packaging has become one of Canada’s foremost distributors of product inspection and packaging automation solutions","food, beverage, pharmaceutical, consumer goods and industrial products industries","product inspection, packaging",Yes,+416 291-2906,md@mdpackaging.com,
"Meat Logistics Fr, Srl",+(809) 567-1493,info@mt-logistics.net,http://www.mt-logistics.net,,Dominican Republic,Packaging EquipmentProcessing Equipment,"Bunzl, Kentmaster, Butcherboy, Sipromac, Ultrasource, Promarks, Berner, Turbo-Trim, Chase Doors, Speco, EllisonDoors, Refrigiwear, InlinePlastic, Jarvis, Carlisle, Remco, Rubbermaid, Cambro, Victorinox, Ansell, Orbis, Tach-IT, XtraPlast .","Calle Guarocuya No 463, 2do Nivel, El Millon",,Santo Domingo,,,Dominican Republic,"Luis Humberto Falla, Gerente Comercial","Our company was created with the purpose of offering logistics and distribution services of products for the food production industry. Focused on making production processes more efficient, maintaining hygiene and safety through training, and above all under the compliance of international norms and standards. Guaranteed in a general way the quality of its final product the knowledge of all those involved in the production.","Agribusiness, Meat & Poultry, Beef, Pork, Chicken, Fish And Related Industries","Meat Processing Equipment, Vacuum Sealing Machines",No,,hfalla@mt-logistics.net,
MEBUM SAS,+57 (4) 444-8560,info@mebum.com.co,http://www.mebum.com.co,,ColombiaEcuadorPanama,Packaging MaterialsSystems IntegratorAutomation Equipment & Components,"Sanitech, Dorner, Intralox, ABC Packaging, Evelety",Calle 75B No 64B-63,,Medellín,ANT,050034,Colombia,"Hernan Dario Builes Gonzalez, Sales Director","MEBUM has been operating since 1991, the year of its foundation, with its operations center located in the city of Medellín.In its beginnings, the company was dedicated exclusively to the manufacture of spare parts for machinery according to the requirements of its customers, but over time it has specialized in providing comprehensive solutions to more complex needs, always addressing the various problems of the industrial sector of which it is a part.",,,Yes,,hernan.builes@mebum.com.co,+57-(316) 831-9354
Meca-Pac Canada,+(450) 280-2269,info@meca-pac.com,http://www.meca-pac.com,https://www.youtube.com/user/MecaPacCanada/videos,Canada,Packaging Equipment,Own Brands,14056 Bld Curé Labelle Blvd,,Mirabel,QC,J7J 1L6,Canada,"Christophe Eymard, President","Recognized as one of the industry leaders in Canada, Meca-Pac North America offers a wide range of machines for forming and gluing corrugated or solid board trays.Our machines can be used in many industries, beverages, fruit and vegetables, bakery, meat, poultry, seafood, dairy products.Recognized as one of the industry leaders in Canada, Meca-Pac North America offers a wide range of machines for forming and gluing corrugated or solid board trays.",,"Founded In 2002, Meca-pac Canada Is Now Recognized As One Of The Industry Leaders Of The Board Machine (sealers / Erector Boxes) And Packing More Than 100 Machines In Operation And More 120 Million Boxes Per Year Trained And Bonded We Also Offer Complete Production Lines For Packaging And Packaging Of Fruits And Vegetables, Grading, Labeling For Fruits And Vegetables, Catalysts For Ethylene, Etc",Yes,,,
,,,,,,,,,,,,,,,,,,,,,
Meech International,+(330) 564-2000,info@meech.com,http://www.meech.com,https://www.youtube.com/user/meechinternational,United States,Packaging EquipmentProcessing Equipment,Meech Own Brands,1298 Centerview Circle,,Akron,OH,44321,United States,"Chris Francis, CEO","Established in 1907, Meech International is one of the world’s leading manufacturers of static control, compressed air technology and web cleaning systems, both contact and non-contact. Meech has specialised in industrial electrostatic control for over 50 years. This experience has led to R&D that matches changing customer needs. Meech pioneered the industrial use of pulsed DC technology for static control and now has thousands of systems installed in the plastics, converting, printing and packaging industries","Automotive; Metals; Paper, Printing; Pharmaceutical, Medical; Textiles, Apparel; Electronics; Beverage; Toys/sports","Meech International Manufactures Energy Efficient Compressed Air Solutions Offering Reduced Air Consumption At Higher Velocity And A Vortex Cooling Line Of Products. We Also Operate Meech Static Eliminators And Lead The Industry In Static Control Solutions.Packaging Machinery & Equipment (complete Lines); Processing Machinery & Equipment (food And/or Beverage); Processing Machinery & Equipment (pharmaceuticals, Etc.); Conveying & Material Handling Equipment; Machinery Components, Industrial Automation; Solutions, Pneumatics & Parts",Yes,,chrisfrancis@meechusa.com,
Mefco International,+97 (33) 971-7585,,https://gulfbusiness.tradeholding.com/default.cgi/action/viewcompanies/companyi…,,Bahrain,Packaging Equipment,Filler Specialties Ltd Norea S.r.l.,P.o.box 30712,,Budaiya,,550,Bahrain,"Alan Marshall, Owner/Managing Director",We offer consultancy services on factory or process design & layout. We offer both new and reconditioned food manufacturing equipment plus all types of related spare parts Plant & raw Material procurement services,Medical; Beverage; Dairy,"Food Project Consultancy Company Offering Advice On Design, Equipment Supply, Production Procedures, Product Development, Ingredient Supply And Engineering Specifications. Working In All Food Sectors But Specializing In Dairy, Ice Cream And Soft Drink AreasPackaging Machinery & Equipment For Primary Packaging (i.e. Filling, Sealing, Etc.); Packaging Machinery & Equipment For Secondary/end Of Line (i.e Cartoning, Stretch Wrapping, Etc.); Packaging Machinery & Equipment (complete Lines)",Yes,,,
Megaplastic com SRL,+54 (11) 4849-5079,adrian@megaplastic.com,http://www.megaplastic.com,,ArgentinaChileParaguayUruguay,Processing Equipment,"Tomra, Nordson , Tecnova, Lindner, Robel.","Arengreen 681, 3C",,Buenos Aires,Buenos Aires,1405,Argentina,"Adrian Borovich, Business Manager","We are a team specialized in diffusion and technology of the plastic industry, with more than 40 years in the plastic industry in South America. We are advisors and consultants to a large number of companies dedicated to the development and manufacture of products and innovations.﻿",,"Processed and semi-processed plastic products, plastic compounds and materials. Machines and equipment for plastic products/material management, extruders, injection, tubes/bags/hoses, injection blowing, PVC, material recovery and recycling, accessories.",Yes,,adrian@megaplastic.com,
"Meier Verpackungen Gesellschaft Mbh & Co., Kg",+43 (5576) 7177-818,sales@meierverpackungen.at,http://www.meierverpackungen.at,https://www.youtube.com/channel/UCVI-ofu2gLxTP-HpxqhirKQ,Austria,Packaging Materials,"BRC, Bunzl",Diepoldsauer Strasse 37,,Hohenems,,6845,Austria,Erhard Meier,"Meier Verpackungen is a traditional company that has been synonymous with expertise in the food packaging, to-go packaging, shipping packaging and hygiene products segments for more than 35 years. As a member of the global wholesale and logistics group Bunzl plc, we supply quality packaging to large industrial companies as well as small and medium-sized enterprises. We successfully support our customers in finding the best packaging solution for each product.","Hardware/tools, Paper/printing, Pharmaceutical/medical, Textiles/apparel, Cosmetics/toiletries, Bakery/snack, Confection/candy, Fruit/vegetable, Meat/poultry/seafood, Press (non-editorial), Fresh, Petroleum, Soap/hou",Packaging Machinery And Materials,No,,,
MENDOZA & QUIROS,+57 (2) 664-4195,info@mendozayquiros.com.co,http:/www.mendozayquiros.com.co,https://www.youtube.com/user/MENDOZAyQUIROS,Colombia,Packaging EquipmentSystems Integrator,"Emplex, All Fill, Barbarella, Sonics",Calle 39 Norte No. 4 N - 21,Barrio La Flora,Cali,VAC,760046,Colombia,"Fernando Gonzalez, General Manager","Since 1980 the technological renovation of the industry in Colombia, and the new demands and options of product packaging was supported by the innovations of the time presented by MENDOZA & QUIROS.Our company orients its efforts so that large companies meet their objectives and high demands in the area of packaging.","Food, homecare",,Yes,,f.gonzalez@mendozayquiros.com.co,+57(312) 843-0749
"Mercantil Continental, S.A.",+57 (2) 664-4303,main@mercantil-continental.com,http://www.mercantil-continental.com,,Colombia,Packaging Equipment,"Thru Color Vision, Montalvo Corporation, Boschert, Fusion Uv, Simco, Schulmumpf, Zero Max, Convetech, Fms Technology, Tecnomec, Zincometal",Cra. 38 # 14,,Yumbo,VAC,,Colombia,"Andres Barona, President",Since 1973 supplying the Colombian industry with the highest quality ingredients from the most recognized companies in the world.,"Pharmaceutical/medical, Cosmetics/toiletries, Bakery/snack, Confection/candy, Meat/poultry/seafood, Fresh","Converting Support Equipment, Winding And Rewinding, Static Eliminators, Wind Elevators",Yes,,main@mercantil-continental.com,
Mercantil Internacional Cia Ltda.,+57 (4) 312-3521,lucasvalencia31@une.net.co,http://www.ventasmercantil.com,,Colombia,Packaging Equipment,"Simco Ion, HERAEUS UV Systems, Convertech Inc., Fms Technology, Zincometal, Mario Cota, Boschert, Tecnomec 3, Thru Color Vision, SchlumpF, Zero Max, Tecno Paper, Core Systems, BioApCo, Stratis, Dinamica Generalli, Novation, Polytec, EIT","Cra. 26 A No 10 - 199, Oficina 116",,Medellin,ANT,,Colombia,"Jorge Valencia, Technical Director","Since 1980 the technological renovation of the industry in Colombia, and the new demands and options of product packaging was supported by the innovations of the time presented by MENDOZA & QUIROS.Our company orients its efforts so that large companies meet their objectives and high demands in the area of packaging.","Paper/printing, Meat/poultry/seafood, Fresh, Packaging Machinery & Related Supplies/service",Packaging Machinery,Yes,,jorgevalencia@une.net.co,
,,,,,,,,,,,,,,,,,,,,,
Mervi,+32 3 646 45 00,email@mervi.be,http://www.mervi.be,,BelgiumLuxembourgNetherlands,Packaging Equipment,Sealed Air Cryovac,Bredabaan,,Merksem,,2170,Belgium,"Pascal Van Huffel, Technical Sales Manager","Mervi was founded in 1984 as a trading specialist in all packaging within production, particularly vacuum, ranging from packaging, printing, machine maintenance and repairs.","Food Industry, Packaging Machinery & Related Supplies/service",Materials For Food Packaging,Yes,,pascal@mervi.be,
Mevema Packaging Systems,+49 69 2740 15252,Juergen.mechler@live.de,https://www.linkedin.com/in/juergen-mechler-a5b407218/?originalSubdomain=de,,AustriaGermanyHungaryPolandSwitzerland,Packaging EquipmentSystems Integrator,"The company's policy is to work as distributor, not as agency. As that, they buy and sell equipment and servicing it with spareparts and their own German technicians.",Mainzer Landstrasse 50,Hessen,Frankfurt/Main,,60325,Germany,Juergen Mechler,"Mevema packaging is consulting, selling and servicing packaging machines and equipment. Over 150 installations are made in Germany and abroad. As distributor, Mevema buys machines/lines from different countries.Jürgen Mechler has an experience of 30 years in selling packaging equipment, he worked for BOSCH packaging, IMA spa in Italy for many years. In 1996 he founded his company Mevema Packaging Systems in Frankfurt/Main, Germany.The company has 3 technicians, 2 sales people, 3 administration people for spareparts, documentation etc.",,,Yes,,juergen.mechler@live.de,+49 15730859977
"MexiMaq (Mexicana de Ingenieria y Maquinaria, SA de CV)",+52 (442) 213-4013,ventas@meximaq.com,http://www.meximaq.com,https://www.youtube.com/channel/UCh0V9LOvelXU4DWG4ZhBldw,ColombiaCosta RicaDominican RepublicGuatemalaMexico,Packaging Equipment,Elwin Meximaq,Carretera Libre a Celaya Km 7.900 Int. 5,Fraccionamiento Industrial Balvanera,Corregidora,Qro.,76920,Mexico,Enrique Grisi,"More than 50 years supporting the growth and success of our customers with reliable and easy-to-operate packaging equipment. offering solutions for packaging lines in the food, chemical, cosmetic, pharmaceutical and other industries.",,"Flowrapping, Product Dosifying, Solid Filling Machines",Yes,,engrisi@meximaq.com,
Mexopack,+52 (55) 5203-2353,mexopack@hotmail.com,,,Mexico,Packaging Equipment,Econocorp,Calle Obraje No.32-b,Col. Guadalupe Victoria,Ecatepec,Méx.,55010,Mexico,"Alma Uriarte Rojas, Director",Packaging Machinery representative,Food,Cartoners,Yes,,mexopack@hotmail.com,
,,,,,,,,,,,,,,,,,,,,,
Mid America Packaging,+(314) 652-4583,andy@map-pack.com,http://www.map-pack.com,https://www.youtube.com/channel/UCx76xENRPxodmwOaUUNPVwA,United States,Packaging Equipment,"Hitachi, Valco-Melton, Squid Ink, Eastey, Colamark, incjet, Astro Packaging, ITW Dynatec, AFM, FlexPackPRO, Paxton",4800 Miami Street,,Saint Louis,MO,63116,United States,"Andy Schwartz, President","Mid America Packaging is a premier sales and service organization providing adhesive dispensing systems, adhesive dispensing equipment, and industrial coding and marking systems to an array of industries. While centrally located with our headquarters in St. Louis, Missouri, we can meet the industrial packaging demands of clients across North America with field offices in Houston, Dallas-Fort Worth, Kansas City, and Tulsa. Along with our sister company, AJ Adhesives Incorporated, we share a core purpose – to hold North American manufacturing together.",,,Yes,+(314) 652-8822,andy@map-pack.com,
Midland Paper Packaging+Supplies (Hq),+(800) 253-7477,sales@midlandpaper.com,http://www.midlandpaper.com,https://www.youtube.com/channel/UCTj7-VzbFnNatFi6kMLGVQQ,United States,Packaging EquipmentPackaging MaterialsSystems IntegratorAutomation Equipment & Components,"3M, Aetna Group, Arpac, Birnberg Machinery, Clamco, Combi, Loveshaw, Packall, Polychem, QComp,Quadrel Labeling Systems, Robopac, Sharp, Signode, Texwrap, M.j. Maillis, Conflex, Duravant, ProMach, Intertape Polymer Group, Grief.",101 E Palatine Road,,Wheeling,IL,60090,United States,"Mike Graves, President & CEO","Founded In 1907, Midland Now Serves The Commercial Printing And Packaging Markets With Its Corporate Headquarters In Wheeling, Illinois, 10 Distribution Centers From Minneapolis To St. Louis, And Sales Offices Servicing Publication Markets From Coast To Coast With Revenues Exceeding $900 Million.",,"Packaging Machinery; Controls, Components, Integration Services, Line Automation; Packaging Distributor; Raw Materials (board, Resin, Additives, Etc.); Converted Package Or Component (film, Closures, Pouches, Etc.)---a Variety Of Materials And Equipement From Stretch, Strap And Shrink Equipment To Case Erectors, Labelers, Carton Sealers And Bag Sealers, And Their Related Materials.",Yes,+(847) 777-2822,mike.graves@midlandpaper.com,
Midwest Packaging Solutions,+(800) 704-5123,customerservice@midwestpkg.com,http://www.midwestpkg.com/,,United States,Packaging EquipmentPackaging Materials,"Combi, Wulftec, Pregis, Intertape Polymer Group, 3M, Pack Strapping Products, Texwrapp, SCS, Clamco, PAC",322 Ryder Road,,Toledo,OH,43606,United States,"Lou Galambos Ii, Vice President of Sales","Midwest is a Packaging Solutions company designed around our customers. Our goal is to help you succeed by providing the best service, product selection & delivery available! We are proud to offer a wide variety of high quality products & equipment from well known and trusted brands like 3M, Intertape, Pregis, Wulftec and many more! Our mission is to serve our customers by providing quality products delivered on time, everytime!",,,Yes,,lou2@midwestpkg.com,
Millennium Packaging,+(847) 713-1977,sales@millpkg.com,http://www.millpkg.com,,United States,Packaging EquipmentPackaging Materials,"Sealed Air, Berry, Lantech, ABB, Arpac, Soco System, Intertape Polymer Group, Automated Packagings Systems, Shanklin, Cryovac, Opti, Laminations, Shurtape, Valfilm, 3M,",413 Joseph Drive,,South Elgin,IL,60177,United States,"John Tyrrel, President","Millennium Packaging is a family-owned and operated business based in the USA. Our roots are in the Midwest, but we now provide customized packaging and equipment solutions for companies across 41 states. Millennium has been in business over 25 years. This type of long-standing experience and industry knowledge is difficult to replicate. We’ve seen it all, and we can package it all.",,"Millennium Packaging Offers Customers Mostly Secondary Packaging Equipment, Service & Parts Department Staffed With Our Factory Trained Technicians.",Yes,,John@millpkg.com,
,,,,,,,,,,,,,,,,,,,,,
MINIPAK Logisztikai Kft.,+36 (62) 555-333,minipakbolt@minipak.hu,https://www.minipak.hu/,,Hungary,Packaging EquipmentPackaging Materials,"Robopac, San Marino Packaging, Fuji Robotics, Technique Rosss S.P.A, CORPAC GmbH, Ripack, Extend Corp, Cyklop, WBV Oelde, NEFAB GmbH, Cortec, Pregis Kft, Torre pak kft. Vassezer, Kft",Petofi Sandor SGT. 53.,,Szeged,,6725,Hungary,"Szabolcs Siket, Managing Director","The services of Minipak include: distribution of packaging materials, design of packaging; creating specially protected packaging (VCI, Alu-barrier); distribution and service of packing machines and robots; design and implementation of warehouse systems.",,box sealing machines; strapping machines; foil welding machines; foil products; strapping tapes; paper products; corrosion protection; household products; racks and shelving systems,,+36 (62) 425-594,siket.szabolcs@minipak.hu,
Mipro D.O.O.,+386 (01) 257-6040,info@mipro.si,http://www.mipro.si,,Slovenia,Packaging EquipmentPackaging Materials,"Ekko, Noxxon, Ripack, Ranpack, Better Packages, Signode, Start.",Tbilisijska Ulica 57b,,Ljubljana,,,Slovenia,"Andraž Dolamič, Business Developer",Mipro is a packaging material and machinery distributor in Slovenia,,"Supplies Packing Materials: Strech Material, Tapes, Foils, Cardboard Boxes, Etc For Product Shipment.",,,,
